category,name,sport,title,url
Women,Katie McNeel,Field Hockey ,Director of Operations,https://towsontigers.com/sports/field-hockey/roster/coaches/katie-mcneel/2953
Women,Gabriella Gaudreault,Women's Cross Country ,Assistant Coach,https://towsontigers.com/sports/womens-cross-country/roster/coaches/gabriella-gaudreault/2964
Women,Abby Gauthier,Women's Cross Country ,Volunteer Assistant,https://towsontigers.com/sports/womens-cross-country/roster/coaches/abby-gauthier/2956
Women,Diane Richardson,Women's Basketball ,Head Coach,https://towsontigers.com/sports/womens-basketball/roster/coaches/diane-richardson/2966
Women,Zach Kancher,Women's Basketball ,Associate Head Coach and Recruiting Coordinator,https://towsontigers.com/sports/womens-basketball/roster/coaches/zach-kancher/2967
Women,E.C. Hill,Women's Basketball ,Assistant Coach,https://towsontigers.com/sports/womens-basketball/roster/coaches/e-c-hill/2969
Women,Cheyenne Curley,Women's Basketball ,Assistant Coach,https://towsontigers.com/sports/womens-basketball/roster/coaches/cheyenne-curley/2965
Women,Myles Jackson,Women's Basketball ,Director of Basketball Operations,https://towsontigers.com/sports/womens-basketball/roster/coaches/myles-jackson/2968
Women,Jasmine Allen,Women's Basketball ,Assistant Director of Basketball Operations,https://towsontigers.com/sports/womens-basketball/roster/coaches/jasmine-allen/2970
Men,Jake Shrum,Men's Swimming and Diving ,Head Coach,https://towsontigers.com/sports/mens-swimming-and-diving/roster/coaches/jake-shrum/2855
Men,Ben Herboth,Men's Swimming and Diving ,Diving Coach,https://towsontigers.com/sports/mens-swimming-and-diving/roster/coaches/ben-herboth/2877
Men,Matt Lowe,Men's Swimming and Diving ,Assistant Coach,https://towsontigers.com/sports/mens-swimming-and-diving/roster/coaches/matt-lowe/2856
Men,Ivan Rodriguez,Men's Swimming and Diving ,Volunteer Coach,https://towsontigers.com/sports/mens-swimming-and-diving/roster/coaches/ivan-rodriguez/2858
Men,Shawn Nadelen,Men's Lacrosse ,Head Coach,https://towsontigers.com/sports/mens-lacrosse/roster/coaches/shawn-nadelen/2903
Men,Steve Grossi,Men's Lacrosse ,"Assistant Coach, Defensive Coordinator",https://towsontigers.com/sports/mens-lacrosse/roster/coaches/steve-grossi/2909
Men,Matt Musci,Men's Lacrosse ,"Assistant Coach, Offensive Coordinator",https://towsontigers.com/sports/mens-lacrosse/roster/coaches/matt-musci/2911
Men,Andy Shilling,Men's Lacrosse ,Volunteer Assistant Coach,https://towsontigers.com/sports/mens-lacrosse/roster/coaches/andy-shilling/2905
Men,Greg Penczek,Men's Lacrosse ,Head Athletic Trainer,https://towsontigers.com/sports/mens-lacrosse/roster/staff/greg-penczek/2
